,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
61,2009,la Sagrera,29002.0,86.9,13.1,,,1538539,945480,175655,117331,140398,42517,61459,11246,2437,4752.0,1745,0.0,35519,872.0,11.93,73.09304274937134,57.5477553272188,54.3755603061858,3.172195021033005,1.0
62,2009,la Salut,13332.0,87.9,12.1,,,831776,531938,81505,36118,33896,13119,20485,72953,4639,22039.0,13737,665.0,682,917.0,12.73,72.03456402199528,49.5049504950495,46.5046504650465,3.0003000300029967,1.0
63,2009,la Teixonera,11494.0,84.3,15.7,,,481607,350018,55228,33478,35129,3358,2221,203,719,181.0,1071,0.0,1,729.0,11.22,64.97326203208556,60.2053245171394,64.1204106490343,-3.9150861318948955,0.0
64,2009,la Trinitat Nova,8070.0,80.3,19.7,,,260136,207345,3236,9402,20567,936,10337,3608,204,3065.0,1436,0.0,0,693.0,12.0,57.75,89.9628252788104,108.426270136307,-18.463444857496597,0.0
65,2009,la Trinitat Vella,10574.0,66.0,34.0,,,409063,245837,43231,33423,47732,6918,11431,1890,1967,2646.0,3253,0.0,10735,735.0,11.15,65.91928251121077,104.69075089843,111.689048609798,-6.9982977113679965,0.0
66,2009,la Vall d'Hebron,5618.0,89.9,10.1,,,350176,208796,5673,6037,12538,1775,22587,512,13478,54501.0,22694,0.0,1585,855.0,10.75,79.53488372093024,58.9177643289427,42.0078319686721,16.909932360270602,1.0
67,2009,la Verneda i la Pau,29626.0,89.2,10.8,,,1436683,953433,62055,87081,267947,21338,25902,1837,426,4636.0,1769,0.0,10259,821.0,10.78,76.1595547309833,42.6652264902451,41.7876189833255,0.8776075069195954,1.0
68,2009,la Vila Olímpica del Poblenou,9202.0,82.6,17.4,,,1075374,428398,206314,79201,135965,84617,38469,7143,25086,47908.0,736,0.0,21537,1.135,14.66,0.07742155525238745,48.4677244077374,42.9254509889155,5.5422734188219,1.0
69,2009,la Vila de Gràcia,52801.0,80.9,19.1,,,3387382,2238529,269501,227387,263363,172971,58565,25878,39598,19485.0,47160,18347.0,6598,908.0,14.33,63.3635729239358,65.623757125812,71.3812238404576,-5.757466714645588,0.0
70,2009,les Corts,47664.0,89.6,10.4,,,3768917,1930739,570380,346937,292498,399454,52541,61738,74155,18089.0,13332,4785.0,4269,1.04,13.8,0.07536231884057971,50.2475662974152,50.625209801947,-0.37764350453180384,0.0
